"city","state_code","median_sale_price"
"BEVERLY HILLS","CA","2297500"
"BEVERLY HILLS","CA","2705000"
"BEVERLY HILLS","CA","1820000"
"BEVERLY HILLS","CA","1100000"
"BEVERLY HILLS","CA","1059000"
"BEVERLY HILLS","CA","3000000"
"BEVERLY HILLS","CA","2819250"
"BEVERLY HILLS","CA","5264500"
"BEVERLY HILLS","CA","6211250"
"BEVERLY HILLS","CA","1855000"
"NEW YORK","NY","695000"
"NEW YORK","NY","800000"
"NEW YORK","NY","704000"
"NEW YORK","NY","798000"
"NEW YORK","NY","890000"
"NEW YORK","NY","695550"
"NEW YORK","NY","730000"
"NEW YORK","NY","620000"
"NEW YORK","NY","835000"
"NEW YORK","NY","540000"
"NEW YORK","NY","615000"
"NEW YORK","NY","823000"
"NEW YORK","NY","887500"
"NEW YORK","NY","853000"
"NEW YORK","NY","900000"
"NEW YORK","NY","915000"
"NEW YORK","NY","700000"
"NEW YORK","NY","600000"
"NEW YORK","NY","915000"
"NEW YORK","NY","773000"
"NEW YORK","NY","799000"
"NEW YORK","NY","702500"
"NEW YORK","NY","880000"
"NEW YORK","NY","1175000"
"NEW YORK","NY","706341.5"
"NEW YORK","NY","724000"
"NEW YORK","NY","606877"
"NEW YORK","NY","650000"
"NEW YORK","NY","887500"
"NEW YORK","NY","818500"
"NEW YORK","NY","794500"
"NEW YORK","NY","613083"
"NEW YORK","NY","700000"
"NEW YORK","NY","690000"
"NEW YORK","NY","600000"
"NEW YORK","NY","980000"
"NEW YORK","NY","540000"
"NEW YORK","NY","700000"
"NEW YORK","NY","735000"
"NEW YORK","NY","635000"
"NEW YORK","NY","899500"
"NEW YORK","NY","732500"
"NEW YORK","NY","720000"
"NEW YORK","NY","700000"
"NEW YORK","NY","805000"
"NEW YORK","NY","945000"
"NEW YORK","NY","575000"
"NEW YORK","NY","660000"
"NEW YORK","NY","655000"
"NEW YORK","NY","750000"
"NEW YORK","NY","990000"
"NEW YORK","NY","860000"
"NEW YORK","NY","825000"
"NEW YORK","NY","980000"
"NEW YORK","NY","711000"
"NEW YORK","NY","670000"
"NEW YORK","NY","815250"
"NEW YORK","NY","725000"
"NEW YORK","NY","1200000"
"NEW YORK","NY","1087500"
"NEW YORK","NY","583100"
"NEW YORK","NY","530000"
"NEW YORK","NY","890000"
"NEW YORK","NY","806250"
"NEW YORK","NY","580000"
"NEW YORK","NY","698000"
"NEW YORK","NY","535836"
"NEW YORK","NY","719000"
"NEW YORK","NY","728500"
"NEW YORK","NY","860000"
"NEW YORK","NY","1085000"
"NEW YORK","NY","892500"
"NEW YORK","NY","617500"
"NEW YORK","NY","799000"
"NEW YORK","NY","962000"
"NEW YORK","NY","470000"
"NEW YORK","NY","995000"
"NEW YORK","NY","894000"
"NEW YORK","NY","810000"
"NEW YORK","NY","725000"
"NEW YORK","NY","685500"
"NEW YORK","NY","867000"
"NEW YORK","NY","836250"
"NEW YORK","NY","427500"
"NEW YORK","NY","635000"
"NEW YORK","NY","900000"
"NEW YORK","NY","1152500"
"NEW YORK","NY","540000"
"NEW YORK","NY","789500"
"NEW YORK","NY","1149000"
"NEW YORK","NY","774500"
"NEW YORK","NY","825000"
"NEW YORK","NY","700000"
"NEW YORK","NY","999000"
"NEW YORK","NY","1125000"
"NEW YORK","NY","715000"
"NEW YORK","NY","620000"
"NEW YORK","NY","858000"
"NEW YORK","NY","633000"
"NEW YORK","NY","723979"
"NEW YORK","NY","700000"
"NEW YORK","NY","545000"
"NEW YORK","NY","730000"
"NEW YORK","NY","865000"
"NEW YORK","NY","825000"
"NEW YORK","NY","498050"
"NEW YORK","NY","998000"
"NEW YORK","NY","699000"
"NEW YORK","NY","960000"
"NEW YORK","NY","772000"
"NEW YORK","NY","980000"
"NEW YORK","NY","830000"
"NEW YORK","NY","995000"
"NEW YORK","NY","760000"
"NEW YORK","NY","825000"
"NEW YORK","NY","520000"
"NEW YORK","NY","800000"
"NEW YORK","NY","690000"
"NEW YORK","NY","639500"
"NEW YORK","NY","695000"
"NEW YORK","NY","725000"
"NEW YORK","NY","520000"
"NEW YORK","NY","1050000"
"NEW YORK","NY","707500"
"NEW YORK","NY","765000"
"NEW YORK","NY","616000"
"NEW YORK","NY","830000"
"NEW YORK","NY","650000"
"NEW YORK","NY","740000"
"NEW YORK","NY","621566"
"NEW YORK","NY","720000"
"NEW YORK","NY","500000"
"NEW YORK","NY","695000"
"NEW YORK","NY","779100"
"NEW YORK","NY","600000"
"NEW YORK","NY","695000"
"NEW YORK","NY","1047000"
"NEW YORK","NY","615000"
"NEW YORK","NY","699500"
"NEW YORK","NY","892500"
"NEW YORK","NY","800250"
"NEW YORK","NY","642500"
"NEW YORK","NY","650000"
"NEW YORK","NY","700000"
"NEW YORK","NY","993000"
"NEW YORK","NY","749500"
"NEW YORK","NY","721500"
"NEW YORK","NY","643750"
"NEW YORK","NY","875000"
"NEW YORK","NY","771000"
"NEW YORK","NY","800000"
"NEW YORK","NY","559000"
"NEW YORK","NY","577000"
"NEW YORK","NY","604000"
"NEW YORK","NY","665000"
"NEW YORK","NY","1056500"
"NEW YORK","NY","1265000"
"NEW YORK","NY","650000"
"NEW YORK","NY","825000"
"NEW YORK","NY","1330000"
"NEW YORK","NY","640748.5"
"NEW YORK","NY","1050000"
"NEW YORK","NY","635000"
"NEW YORK","NY","1130000"
"NEW YORK","NY","1180000"
"NEW YORK","NY","605500"
"NEW YORK","NY","500000"
"NEW YORK","NY","885000"
"NEW YORK","NY","1100000"
